# Destination	Skills	Item IDs	Quests	Varbits	Varplayers	isMembers	Consumable	Wilderness level	Duration	Display info
# Ardougne Cloaks (2-4's farm teleport is limited to 3,5, or infinite times - can this be validated?)										
2606 3221 0		13121;13122;13123;13124;20760				Y	F	19	4	Ardougne cloak: Kandarin Monastery
2664 3374 0		13122;13123;13124;20760				Y	T	19	4	Ardougne cloak: Ardougne Farm
# Karamja Gloves										
2840 9387 0		11140;13103				Y	F	19	4	Karamja gloves
# Desert Amulets (2 and 3 have one teleport per day, 4 is unlimited)										
3420 2917 0		13134;13135		4558=0		Y	T	19	4	Desert amulet
3426 2927 0		13136				Y	F	19	4	Desert amulet
# Morytania Legs (2 and 3 have 5 teleports per day to slime, 4 is unlimited)										
3683 9888 0		13112		4542<2		Y	T	19	4	Morytania legs: Ectofuntus Pit
3683 9888 0		13113;13114		4542<5		Y	T	19	4	Morytania legs: Ectofuntus Pit
3683 9888 0		13115				Y	F	19	4	Morytania legs: Ectofuntus Pit
3482 3230 0		13114;13115				Y	F	19	4	Morytania legs: Burgh de Rott
# Fremennik sea boots (1,2,3 have 1 teleport per day, 4 is unlimited)										
2643 3675 0		13129;13130;13131		5005=0		Y	T	19	4	Fremennik sea boots
2643 3675 0		13132				Y	F	19	4	Fremennik sea boots
# Kandarin headgear (3 has 1 teleport per day, 4 is unlimited)										
2729 3409 0		13137;13138;13139;13140				Y	F	19	4	Kandarin headgear
# Wilderness Sword (3 has 1 teleport per day, 4 is unlimited)										
3377 3890 0		13110;13111				Y	F	19	4	Wilderness sword
# Western Banner (3 has 1 teleport per day, 4 is unlimited)										
2339 3649 0		13143;13144				Y	F	19	4	Western banner
# Explorer's Ring (2 has 3 teleports per day, 3 and 4 are unlimited)										
3052 3291 0		13126		4552<3		Y	T	19	4	Explorer's ring: Teleport
3052 3291 0		13127;13128				Y	F	19	4	Explorer's ring
# Rada's Blessing (Kourend Woodland, 1 has 3 teleports, 2 has 5 teleports, 3 and 4 have unlimited. For Mount Karuulum, 3 has 3 teleports and 4 has unlimited)										
1554 3457 0		22941		7937<3		Y	T	19	4	Rada's blessing: Kourend Woodland
1554 3457 0		22943		7937<5		Y	T	19	4	Rada's blessing: Kourend Woodland
1554 3457 0		22945;22947				Y	F	19	4	Rada's blessing: Kourend Woodland
1311 3799 0		22945		7938<3		Y	T	19	4	Rada's blessing: Mount Karuulm
1311 3799 0		22947				Y	F	19	4	Rada's blessing: Mount Karuulm
										
# Games Necklace										
2520 3571 0		3853;3855;3857;3859;3861;3863;3865;3867				Y	T	19	4	2. Games necklace: Barbarian Outpost
2898 3553 0		3853;3855;3857;3859;3861;3863;3865;3867				Y	T	19	4	1. Games necklace: Burthorpe
2967 4384 2		3853;3855;3857;3859;3861;3863;3865;3867				Y	T	19	4	3. Games necklace: Corporeal Beast
3245 9500 2		3853;3855;3857;3859;3861;3863;3865;3867	Tears of Guthix			Y	T	19	4	4. Games necklace: Tears of Guthix
1631 3940 0		3853;3855;3857;3859;3861;3863;3865;3867				Y	T	19	4	5. Games necklace: Wintertodt Camp

# Ring of Dueling (1-8)
3315 3235 0		2566;2564;2562;2560;2558;2556;2554;2552				Y	T	19	6	1. Ring of dueling: Emir's Arena
2440 3090 0		2566;2564;2562;2560;2558;2556;2554;2552				Y	T	19	6	2. Ring of dueling: Castle Wars
3151 3635 0		2566;2564;2562;2560;2558;2556;2554;2552				Y	T	19	6	3. Ring of dueling: Ferox Enclave

# Combat Bracelet (1-6) (uncharged is 11126)
2882 3547 0		11118;11120;11122;11124;11972;11974				Y	T	29	4	1. Combat bracelet: Warriors' Guild
3192 3368 0		11118;11120;11122;11124;11972;11974				Y	T	29	4	2. Combat bracelet: Champions' Guild
3052 3490 0		11118;11120;11122;11124;11972;11974				Y	T	29	4	3. Combat bracelet: Monastery
2653 3439 0		11118;11120;11122;11124;11972;11974				Y	T	29	4	4. Combat bracelet: Ranging Guild

# Skills Necklace (1-6) (uncharged is 11113)
2611 3390 0		11105;11107;11109;11111;11968;11970				Y	T	29	4	1. Skills necklace: Fishing Guild
3049 9763 0		11105;11107;11109;11111;11968;11970				Y	T	29	4	2. Skills necklace: Mining Guild
2933 3295 0		11105;11107;11109;11111;11968;11970				Y	T	29	4	3. Skills necklace: Crafting Guild
3144 3438 0		11105;11107;11109;11111;11968;11970				Y	T	29	4	4. Skills necklace: Cooking Guild
1662 3505 0		11105;11107;11109;11111;11968;11970				Y	T	29	4	5. Skills necklace: Woodcutting Guild
1248 3725 0	45 Farming	11105;11107;11109;11111;11968;11970				Y	T	29	4	6. Skills necklace: Farming Guild
1248 3719 0		11105;11107;11109;11111;11968;11970				Y	T	29	4	6. Skills necklace: Farming Guild

# Amulet of Glory (1-6, 1t-6t, Eternal) (uncharged is 1704, trimmed 10362)
