Origin	Destination	isMembers	EnumValue	EnumClass	Display info	Wilderness level	Duration
1858 5707 0	3213 3424 0	Y	VARROCK	NexusPortal	NexusTeleport -> Varrock	19	6
1922 5707 2	3213 3424 0	Y	VARROCK	NexusPortal	NexusTeleport -> Varrock	19	6
1986 5707 0	3213 3424 0	Y	VARROCK	NexusPortal	NexusTeleport -> Varrock	19	6
1858 5707 0	3164 3478 0	Y	VARROCK_GE	NexusPortal	NexusTeleport -> Grand Exchange	19	6
1922 5707 2	3164 3478 0	Y	VARROCK_GE	NexusPortal	NexusTeleport -> Grand Exchange	19	6
1986 5707 0	3164 3478 0	Y	VARROCK_GE	NexusPortal	NexusTeleport -> Grand Exchange	19	6
1858 5707 0	3222 3218 0	Y	LUMBRIDGE	NexusPortal	NexusTeleport -> Lumbridge	19	6
1922 5707 2	3222 3218 0	Y	LUMBRIDGE	NexusPortal	NexusTeleport -> Lumbridge	19	6
1986 5707 0	3222 3218 0	Y	LUMBRIDGE	NexusPortal	NexusTeleport -> Lumbridge	19	6
1858 5707 0	2965 3381 0	Y	FALADOR	NexusPortal	NexusTeleport -> Falador	19	6
1922 5707 2	2965 3381 0	Y	FALADOR	NexusPortal	NexusTeleport -> Falador	19	6
1986 5707 0	2965 3381 0	Y	FALADOR	NexusPortal	NexusTeleport -> Falador	19	6
1858 5707 0	2757 3477 0	Y	CAMELOT	NexusPortal	NexusTeleport -> Camelot	19	6
1922 5707 2	2757 3477 0	Y	CAMELOT	NexusPortal	NexusTeleport -> Camelot	19	6
1986 5707 0	2757 3477 0	Y	CAMELOT	NexusPortal	NexusTeleport -> Camelot	19	6
1858 5707 0	1643 3672 0	Y	KOUREND	NexusPortal	NexusTeleport -> Kourend Castle	19	6
1922 5707 2	1643 3672 0	Y	KOUREND	NexusPortal	NexusTeleport -> Kourend Castle	19	6
1986 5707 0	1643 3672 0	Y	KOUREND	NexusPortal	NexusTeleport -> Kourend Castle	19	6
1858 5707 0	2664 3306 0	Y	ARDOUGNE	NexusPortal	NexusTeleport -> Ardougne	19	6
1922 5707 2	2664 3306 0	Y	ARDOUGNE	NexusPortal	NexusTeleport -> Ardougne	19	6
1986 5707 0	2664 3306 0	Y	ARDOUGNE	NexusPortal	NexusTeleport -> Ardougne	19	6
1858 5707 0	2547 3114 0	Y	WATCHTOWER	NexusPortal	NexusTeleport -> Watchtower	19	6
1922 5707 2	2547 3114 0	Y	WATCHTOWER	NexusPortal	NexusTeleport -> Watchtower	19	6
1986 5707 0	2547 3114 0	Y	WATCHTOWER	NexusPortal	NexusTeleport -> Watchtower	19	6
1858 5707 0	2796 2791 0	Y	MARIM	NexusPortal	NexusTeleport -> Marim	19	6
1922 5707 2	2796 2791 0	Y	MARIM	NexusPortal	NexusTeleport -> Marim	19	6
1986 5707 0	2796 2791 0	Y	MARIM	NexusPortal	NexusTeleport -> Marim	19	6
1858 5707 0	3319 3336 0	Y	SENNTISTEN	NexusPortal	NexusTeleport -> Senntisten	19	6
1922 5707 2	3319 3336 0	Y	SENNTISTEN	NexusPortal	NexusTeleport -> Senntisten	19	6
1986 5707 0	3319 3336 0	Y	SENNTISTEN	NexusPortal	NexusTeleport -> Senntisten	19	6
1858 5707 0	3494 3473 0	Y	KHARYRLL	NexusPortal	NexusTeleport -> Kharyrll	19	6
1922 5707 2	3494 3473 0	Y	KHARYRLL	NexusPortal	NexusTeleport -> Kharyrll	19	6
1986 5707 0	3494 3473 0	Y	KHARYRLL	NexusPortal	NexusTeleport -> Kharyrll	19	6
1858 5707 0	3157 3667 0	Y	CARRALLANGER	NexusPortal	NexusTeleport -> Carrallanger	19	6
1922 5707 2	3157 3667 0	Y	CARRALLANGER	NexusPortal	NexusTeleport -> Carrallanger	19	6
1986 5707 0	3157 3667 0	Y	CARRALLANGER	NexusPortal	NexusTeleport -> Carrallanger	19	6
1858 5707 0	2546 3755 0	Y	WATERBIRTH	NexusPortal	NexusTeleport -> Waterbirth Island	19	6
1922 5707 2	2546 3755 0	Y	WATERBIRTH	NexusPortal	NexusTeleport -> Waterbirth Island	19	6
1986 5707 0	2546 3755 0	Y	WATERBIRTH	NexusPortal	NexusTeleport -> Waterbirth Island	19	6
1858 5707 0	3288 3888 0	Y	ANNAKARL	NexusPortal	NexusTeleport -> Annakarl	19	6
1922 5707 2	3288 3888 0	Y	ANNAKARL	NexusPortal	NexusTeleport -> Annakarl	19	6
1986 5707 0	3288 3888 0	Y	ANNAKARL	NexusPortal	NexusTeleport -> Annakarl	19	6
1858 5707 0	2977 3872 0	Y	GHORROCK	NexusPortal	NexusTeleport -> Ghorrock	19	6
1922 5707 2	2977 3872 0	Y	GHORROCK	NexusPortal	NexusTeleport -> Ghorrock	19	6
1986 5707 0	2977 3872 0	Y	GHORROCK	NexusPortal	NexusTeleport -> Ghorrock	19	6
1858 5707 0	2113 3915 0	Y	LUNAR_ISLE	NexusPortal	NexusTeleport -> Lunar Isle	19	6
1922 5707 2	2113 3915 0	Y	LUNAR_ISLE	NexusPortal	NexusTeleport -> Lunar Isle	19	6
1986 5707 0	2113 3915 0	Y	LUNAR_ISLE	NexusPortal	NexusTeleport -> Lunar Isle	19	6
1858 5707 0	2802 3449 0	Y	CATHERBY	NexusPortal	NexusTeleport -> Catherby	19	6
1922 5707 2	2802 3449 0	Y	CATHERBY	NexusPortal	NexusTeleport -> Catherby	19	6
1986 5707 0	2802 3449 0	Y	CATHERBY	NexusPortal	NexusTeleport -> Catherby	19	6
1858 5707 0	2612 3391 0	Y	FISHING_GUILD	NexusPortal	NexusTeleport -> Fishing Guild	19	6
1922 5707 2	2612 3391 0	Y	FISHING_GUILD	NexusPortal	NexusTeleport -> Fishing Guild	19	6
1986 5707 0	2612 3391 0	Y	FISHING_GUILD	NexusPortal	NexusTeleport -> Fishing Guild	19	6
1858 5707 0	2891 3678 0	Y	TROLL_STRONGHOLD	NexusPortal	NexusTeleport -> Troll Stronghold	19	6
1922 5707 2	2891 3678 0	Y	TROLL_STRONGHOLD	NexusPortal	NexusTeleport -> Troll Stronghold	19	6
1986 5707 0	2891 3678 0	Y	TROLL_STRONGHOLD	NexusPortal	NexusTeleport -> Troll Stronghold	19	6
1858 5707 0	2846 3940 0	Y	WEISS	NexusPortal	NexusTeleport -> Weiss	19	6
1922 5707 2	2846 3940 0	Y	WEISS	NexusPortal	NexusTeleport -> Weiss	19	6
1986 5707 0	2846 3940 0	Y	WEISS	NexusPortal	NexusTeleport -> Weiss	19	6
1858 5707 0	1632 3838 0	Y	ARCEUUS_LIBRARY	NexusPortal	NexusTeleport -> Arceuus Library	19	6
