Origin	Destination	isMembers	menuOption menuTarget objectID	Varbits	Display info	Duration
2954 3224 0	1858 5707 0	Y	Home;Portal;15478	2188=1;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1858 5707 0	Y	Home;Portal;15478	2188=2;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1858 5707 0	Y	Home;Portal;15478	2188=3;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1858 5707 0	Y	Home;Portal;15478	2188=4;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1922 5707 2	Y	Home;Portal;15478	2188=5;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1922 5707 2	Y	Home;Portal;15478	2188=6;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1922 5707 2	Y	Home;Portal;15478	2188=7;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1922 5707 2	Y	Home;Portal;15478	2188=8;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1986 5707 0	Y	Home;Portal;15478	2188=10;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1986 5707 0	Y	Home;Portal;15478	2188=11;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1986 5707 0	Y	Home;Portal;15478	2188=13;2187=1	RIMMINGTON -> PoH	1
2954 3224 0	1986 5707 0	Y	Home;Portal;15478	2188=14;2187=1	RIMMINGTON -> PoH	1
2894 3465 0	1858 5707 0	Y	Home;Portal;15477	2188=1;2187=2	TAVERLY -> PoH	1
2894 3465 0	1858 5707 0	Y	Home;Portal;15477	2188=2;2187=2	TAVERLY -> PoH	1
2894 3465 0	1858 5707 0	Y	Home;Portal;15477	2188=3;2187=2	TAVERLY -> PoH	1
2894 3465 0	1858 5707 0	Y	Home;Portal;15477	2188=4;2187=2	TAVERLY -> PoH	1
2894 3465 0	1922 5707 2	Y	Home;Portal;15477	2188=5;2187=2	TAVERLY -> PoH	1
2894 3465 0	1922 5707 2	Y	Home;Portal;15477	2188=6;2187=2	TAVERLY -> PoH	1
2894 3465 0	1922 5707 2	Y	Home;Portal;15477	2188=7;2187=2	TAVERLY -> PoH	1
2894 3465 0	1922 5707 2	Y	Home;Portal;15477	2188=8;2187=2	TAVERLY -> PoH	1
2894 3465 0	1986 5707 0	Y	Home;Portal;15477	2188=10;2187=2	TAVERLY -> PoH	1
2894 3465 0	1986 5707 0	Y	Home;Portal;15477	2188=11;2187=2	TAVERLY -> PoH	1
2894 3465 0	1986 5707 0	Y	Home;Portal;15477	2188=13;2187=2	TAVERLY -> PoH	1
2894 3465 0	1986 5707 0	Y	Home;Portal;15477	2188=14;2187=2	TAVERLY -> PoH	1
3340 3004 0	1858 5707 0	Y	Home;Portal;15479	2188=1;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1858 5707 0	Y	Home;Portal;15479	2188=2;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1858 5707 0	Y	Home;Portal;15479	2188=3;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1858 5707 0	Y	Home;Portal;15479	2188=4;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1922 5707 2	Y	Home;Portal;15479	2188=5;2187=3	POLIVNEACH -> PoH	1
3340 3004 0	1922 5707 2	Y	Home;Portal;15479	2188=6;2187=3	POLIVNEACH -> PoH	1
