# Origin	Destination	menuOption menuTarget objectID	Skills	Items	Varbits	VarPlayers	Duration	Quests
2220 3155 0	2220 3152 0	Step-over Tripwire 3921	1 Agility				8	
2220 3152 0	2220 3155 0	Step-over Tripwire 3921	1 Agility				8	
2215 3156 0	2215 3153 0	Step-over Tripwire 3921	1 Agility				8	
2215 3153 0	2215 3156 0	Step-over Tripwire 3921	1 Agility				8	
2250 3168 0	2253 3168 0	Step-over Tripwire 3921	1 Agility				8	
2253 3168 0	2250 3168 0	Step-over Tripwire 3921	1 Agility				8	
2284 3188 0	2287 3188 0	Step-over Tripwire 3921	1 Agility				8	
2287 3188 0	2284 3188 0	Step-over Tripwire 3921	1 Agility				8	
2294 3242 0	2294 3245 0	Step-over Tripwire 3921	1 Agility				8	
2294 3245 0	2294 3242 0	Step-over Tripwire 3921	1 Agility				8	
2199 3169 0	2202 3169 0	Pass Sticks 3922	1 Agility				6	
2202 3169 0	2199 3169 0	Pass Sticks 3922	1 Agility				6	
2234 3181 0	2238 3181 0	Pass Sticks 3922	1 Agility				6	
2238 3181 0	2234 3181 0	Pass Sticks 3922	1 Agility				6	
2181 3212 0	2181 3208 0	Pass Sticks 3922	1 Agility				6	
2181 3208 0	2181 3212 0	Pass Sticks 3922	1 Agility				6	
2256 3227 0	2260 3227 0	Pass Sticks 3922	1 Agility				6	
2260 3227 0	2256 3227 0	Pass Sticks 3922	1 Agility				6	
2274 3163 0	2277 3163 0	Pass Sticks 3922	1 Agility				6	
2277 3163 0	2274 3163 0	Pass Sticks 3922	1 Agility				6	
2295 3217 0	2295 3213 0	Pass Sticks 3922	1 Agility				6	
2295 3213 0	2295 3217 0	Pass Sticks 3922	1 Agility				6	
2209 3201 0	2209 3205 0	Jump Leaves 3925	1 Agility				4	
2209 3205 0	2209 3201 0	Jump Leaves 3925	1 Agility				4	
2275 3262 0	2279 3262 0	Jump Leaves 3925	1 Agility				4	
2279 3262 0	2275 3262 0	Jump Leaves 3925	1 Agility				4	
2267 3205 0	2267 3201 0	Jump Leaves 3925	1 Agility				4	
2267 3201 0	2267 3205 0	Jump Leaves 3925	1 Agility				4	
2274 3176 0	2274 3172 0	Jump Leaves 3925	1 Agility				4	
2274 3172 0	2274 3176 0	Jump Leaves 3925	1 Agility				4	
2474 3436 0	2474 3429 0	Walk-across Log balance 23145	1 Agility				8	
2471 3426 0	2471 3423 1	Climb-over Obstacle net 23134	1 Agility				2	
2472 3426 0	2472 3423 1	Climb-over Obstacle net 23134	1 Agility				2	
2473 3426 0	2473 3423 1	Climb-over Obstacle net 23134	1 Agility				2	
2474 3426 0	2474 3423 1	Climb-over Obstacle net 23134	1 Agility				2	
2475 3426 0	2475 3423 1	Climb-over Obstacle net 23134	1 Agility				2	
2476 3426 0	2476 3423 1	Climb-over Obstacle net 23134	1 Agility				2	
2473 3423 1	2473 3420 2	Climb Tree branch 23559	1 Agility				2	
2477 3420 2	2483 3420 2	Walk-on Balancing rope 23557	1 Agility				8	
2485 3419 2	2487 3420 0	Climb-down Tree branch 23560	1 Agility				2	
2486 3420 2	2487 3420 0	Climb-down Tree branch 23560	1 Agility				2	
2483 3425 0	2483 3428 0	Climb-over Obstacle net 23134	1 Agility				2	
2484 3425 0	2484 3428 0	Climb-over Obstacle net 23134	1 Agility				2	
2485 3425 0	2485 3428 0	Climb-over Obstacle net 23134	1 Agility				2	
2486 3425 0	2486 3428 0	Climb-over Obstacle net 23134	1 Agility				2	
2487 3425 0	2487 3428 0	Climb-over Obstacle net 23134	1 Agility				2	
2488 3425 0	2488 3428 0	Climb-over Obstacle net 23134	1 Agility				2	
2484 3430 0	2484 3437 0	Squeeze-through Obstacle pipe 23139	1 Agility				12	
2487 3430 0	2487 3437 0	Squeeze-through Obstacle pipe 23139	1 Agility				12	
3103 3279 0	3102 3279 3	Climb Rough wall 11404	1 Agility				4	
3099 3277 3	3090 3276 3	Cross Tightrope 11405	1 Agility				12	
3091 3276 3	3092 3266 3	Cross Tightrope  11406	1 Agility				12	
3089 3265 3	3088 3261 3	Balance Narrow wall 11430	1 Agility				5	
3088 3257 3	3088 3255 3	Jump-up Wall 11630	1 Agility				4	
3094 3255 3	3096 3256 3	Jump-up Gap 11631	1 Agility				4	
3100 3261 3	3103 3261 0	Climb-down Crate 11632	1 Agility				8	
3221 9556 0	3221 9552 0	Jump-across Stepping stone 5949	1 Agility				4	
3221 9552 0	3221 9556 0	Jump-across Stepping stone 5949	1 Agility				4	
3204 9572 0	3208 9572 0	Jump-across Stepping stone 5948	1 Agility				4	
3208 9572 0	3204 9572 0	Jump-across Stepping stone 5948	1 Agility				4	
2698 9492 0	2698 9500 0	Squeeze-through Pipe 21727	1 Agility				13	
2698 9500 0	2698 9492 0	Squeeze-through Pipe 21727	1 Agility				13	
2655 9566 0	2655 9573 0	Squeeze-through Pipe 21728	1 Agility				13	
2655 9573 0	2655 9566 0	Squeeze-through Pipe 21728	1 Agility				13	
2649 9562 0	2647 9557 0	Jump-from Stepping stone 21738	1 Agility				7	
2647 9557 0	2649 9562 0	Jump-from Stepping stone 21739	1 Agility				7	
2687 9506 0	2682 9506 0	Walk-across Log Balance 20884	1 Agility				7	
2682 9506 0	2687 9506 0	Walk-across Log Balance 20882	1 Agility				7	
1686 9755 0	1688 9755 0	Climb Rock 31698	1 Agility				4	
3033 3389 1	3033 3390 0	Jump Wall 17051	4 Agility					
3032 3389 1	3032 3388 0	Jump Wall 17052	4 Agility					
2556 3073 1	2556 3072 0	Jump Wall 17048	4 Agility					
2556 3074 1	2556 3075 0	Jump Wall 17048	4 Agility					
2936 3355 0	2934 3355 0	Climb-over Crumbling wall 24222	5 Agility					
2934 3355 0	2936 3355 0	Climb-over Crumbling wall 24222	5 Agility					
2561 3108 0	2561 3111 0	Climb-up Climbing rocks 23543	5 Agility				2	
3246 3179 0	3259 3179 0	Grapple Broken Raft 17068	8 Agility;37 Ranged;19 Strength	CROSSBOW=1&MITH_GRAPPLE=1				
