# Origin	Destination	menuOption menuTarget objectID	Quests	Duration	Display info	VarPlayers
1389 2901 0		Travel Renu 13350	Twilight's Promise	6		
1411 3361 0		Travel Renu 13350	Twilight's Promise	6		
1697 3140 0		Travel Renu 13350	Twilight's Promise	6		
1585 3053 0		Travel Renu 13350	Twilight's Promise	6		
1510 3222 0		Travel Renu 13350	Twilight's Promise	6		
1548 2995 0		Travel Renu 13350	Twilight's Promise	6		
1226 3091 0		Travel Renu 13350	Twilight's Promise	6		
1437 3171 0		Travel Renu 13350	Twilight's Promise	6		
1779 3111 0		Travel Renu 13350	Twilight's Promise	6		4182&256
1344 3022 0		Travel Renu 13350	Twilight's Promise	6		4182&16384
1700 3037 0		Travel Renu 13350	Twilight's Promise	6		4182&128
1670 2933 0		Travel Renu 13350	Twilight's Promise	6		4182&64
1446 3108 0		Travel Renu 13350	Twilight's Promise	6		4182&32
1613 3300 0		Travel Renu 13350	Twilight's Promise	6		4182&2048
	1389 2901 0		Twilight's Promise	6	Aldarin	
	1411 3361 0		Twilight's Promise	6	Auburnvale	
	1697 3140 0		Twilight's Promise	6	Civitas illa Fortis	
	1585 3053 0		Twilight's Promise	6	Hunter Guild	
	1510 3222 0		Twilight's Promise	6	Quetzacalli Gorge	
	1548 2995 0		Twilight's Promise	6	Sunset Coast	
	1226 3091 0		Twilight's Promise	6	Tal Teklan	
	1437 3171 0		Twilight's Promise	6	The Teomat	
	1779 3111 0		Twilight's Promise	6	Fortis Colosseum	4182&256
	1344 3022 0		Twilight's Promise	6	Kastori	4182&16384
	1700 3037 0		Twilight's Promise	6	Outer Fortis	4182&128
	1670 2933 0		Twilight's Promise	6	Colossal Wyrm Remains	4182&64
	1446 3108 0		Twilight's Promise	6	Cam Torum	4182&32
	1613 3300 0		Twilight's Promise	6	Salvager Overlook	4182&2048
