# Destination	menuOption menuTarget objectID	Skills	Items	Quests	Duration	Display info	Consumable	Wilderness level	Varbits	VarPlayers	Region override
# Banker's Briefcase Bank Chests											
1399 9313 0			30361=1		4	Banker's Briefcase: Varlamore - Alchemical Society	F	60			
1502 3410 0			30361=1		4	Banker's Briefcase: Varlamore - Aldarin	F	60			VARLAMORE
2780 2782 0			30361=1	Monkey Madness I	4	Banker's Briefcase: Kandarin - Ape Atoll	F	60			
2537 3573 0			30361=1		4	Banker's Briefcase: Kandarin - Barbarian Assault	F	60			
1948 4956 0			30361=1	The Giant Dwarf	4	Banker's Briefcase: Fremennik - Blast Furnace	F	60			
1476 3877 0			30361=1		4	Banker's Briefcase: Kourend - Blast mine (north)	F	60			
1495 3874 0			30361=1		4	Banker's Briefcase: Kourend - Blast mine (north)	F	60			
1479 3851 0			30361=1		4	Banker's Briefcase: Kourend - Blast mine (south)	F	60			
1501 3856 0			30361=1		4	Banker's Briefcase: Kourend - Blast mine (south)	F	60			
2444 3083 0			30361=1		4	Banker's Briefcase: Kandarin - Castle Wars	F	60			
2936 3280 0			30361=1		4	Banker's Briefcase: Asgarnia - Crafting Guild	F	60			
1253 3742 0			30361=1		4	Banker's Briefcase: Kourend - Farming Guild	F	60			
3130 3632 0			30361=1		4	Banker's Briefcase: Wilderness - Ferox Enclave	F	60			
1805 9501 0			30361=1		4	Banker's Briefcase: Varlamore - Fortis Colosseum	F	60			
1718 3465 0			30361=1		4	Banker's Briefcase: Kourend - Hosidius beach	F	60			
1675 3615 0			30361=1		4	Banker's Briefcase: Kourend - Hosidius Kitchen	F	60			
1542 3039 0			30361=1		4	Banker's Briefcase: Varlamore - Hunter Guild	F	60			
1513 3421 0			30361=1		4	Banker's Briefcase: Kourend - Land's End	F	60			
2732 3382 2			30361=1		4	Banker's Briefcase: Kandarin - Legends' Guild	F	60			
2731 3379 2			30361=1		4	Banker's Briefcase: Kandarin - Legends' Guild	F	60			
2733 3379 2			30361=1		4	Banker's Briefcase: Kandarin - Legends' Guild	F	60			
2534 4711 0			30361=1		4	Banker's Briefcase: Wilderness - Mage Arena	F	60			
3367 3318 1			30361=1		4	Banker's Briefcase: Desert - Mage Training Arena	F	60			
3012 9718 0			30361=1		4	Banker's Briefcase: Asgarnia - Mining Guild	F	60			
2445 5181 0			30361=1		4	Banker's Briefcase: Karamja - Mor Ul Rek	F	60			
2544 5141 0			30361=1		4	Banker's Briefcase: Karamja - Mor Ul Rek Fight Cave	F	60			
3761 5666 0			30361=1		4	Banker's Briefcase: Asgarnia - Motherlode Mine	F	60			
1324 3825 0			30361=1		4	Banker's Briefcase: Kourend - Mount Karuulm	F	60			
1254 3572 0			30361=1		4	Banker's Briefcase: Kourend - Mount Quidamortem	F	60			
2465 2849 1			30361=1		4	Banker's Briefcase: Kandarin - Myths' Guild	F	60			
2334 3808 0			30361=1		4	Banker's Briefcase: Fremennik - Neitiznot	F	60			
2338 3808 0			30361=1		4	Banker's Briefcase: Fremennik - Neitiznot	F	60			
2339 3808 0			30361=1		4	Banker's Briefcase: Fremennik - Neitiznot	F	60			
2661 3163 0			30361=1		4	Banker's Briefcase: Kandarin - Port Khazard	F	60			
3039 4969 0			30361=1		4	Banker's Briefcase: Asgarnia - Rogues' Den	F	60			
2979 5798 0			30361=1		4	Banker's Briefcase: Asgarnia - Ruins of Camdozaal	F	60			
3155 2835 0			30361=1		4	Banker's Briefcase: Desert - Ruins of Unkah	F	60			
3309 3120 0			30361=1		4	Banker's Briefcase: Desert - Shantay Pass	F	60			
1486 3645 0			30361=1		4	Banker's Briefcase: Kourend - Shayzien Encampment	F	60			
1483 3645 0			30361=1		4	Banker's Briefcase: Kourend - Shayzien Encampment	F	60			
1454 3859 0			30361=1		4	Banker's Briefcase: Kourend - Sulphur mine	F	60			
3619 9473 0			30361=1		4	Banker's Briefcase: Kourend - Temple of the Eye	F	60			
3810 3020 0			30361=1		4	Banker's Briefcase: Morytania - Trouble Brewing	F	60			
1641 3944 0			30361=1		4	Banker's Briefcase: Kourend - Wintertodt	F	60			
1592 3475 0			30361=1		4	Banker's Briefcase: Kourend - Woodcutting Guild	F	60			
1551 9872 0			30361=1		4	Banker's Briefcase: Kourend - Woodcutting Guild Ent dungeon	F	60			
2380 4460 0			30361=1		4	Banker's Briefcase: Varlamore - Zanaris	F	60			
2380 4459 0			30361=1		4	Banker's Briefcase: Varlamore - Zanaris	F	60			
2380 4458 0			30361=1		4	Banker's Briefcase: Varlamore - Zanaris	F	60			
2380 4457 0			30361=1		4	Banker's Briefcase: Varlamore - Zanaris	F	60			
2380 4456 0			30361=1		4	Banker's Briefcase: Varlamore - Zanaris	F	60			
# Banker's Briefcase Deposit Boxes											
3045 3234 0			30361=1		4	Banker's Briefcase: Asgarnia - Port Sarim	F	60			
3029 3210 0			30361=1		4	Banker's Briefcase: Asgarnia - Port Sarim dock	F	60			
1395 2925 0			30361=1		4	Banker's Briefcase: Varlamore - Aldarin	F	60			
1444 2966 0			30361=1		4	Banker's Briefcase: Varlamore - Aldarin dock	F	60			
1626 3737 0			30361=1		4	Banker's Briefcase: Kourend - Arceuus	F	60			
2654 3280 0			30361=1		4	Banker's Briefcase: Kandarin - East Ardougne South Bank	F	60			
2674 3276 0			30361=1		4	Banker's Briefcase: Kandarin - East Ardougne dock	F	60			
1950 4956 0			30361=1		4	Banker's Briefcase: Fremennik - Blast Furnace	F	60			
3498 3210 0			30361=1		4	Banker's Briefcase: Morytania - Burgh de Rott	F	60			
1449 9570 1			30361=1		4	Banker's Briefcase: Varlamore - Cam Torum	F	60			
3509 3474 0			30361=1		4	Banker's Briefcase: Morytania - Canifis	F	60			
2806 3439 0			30361=1		4	Banker's Briefcase: Kandarin - Catherby (bank)	F	60			
2796 3415 0			30361=1		4	Banker's Briefcase: Kandarin - Catherby dock	F	60			
