# Origin	Destination	menuOption menuTarget objectID	Skills	Quests	Duration	Display info	Varbits
# Tree Gnome Village							
2543 3167 0		Travel Spirit tree 26261					
2544 3167 0		Travel Spirit tree 26261					
2545 3167 0		Travel Spirit tree 26261					
2546 3167 0		Travel Spirit tree 26261					
2547 3169 0		Travel Spirit tree 26261					
2547 3170 0		Travel Spirit tree 26261					
2547 3171 0		Travel Spirit tree 26261					
2546 3172 0		Travel Spirit tree 26261					
2545 3172 0		Travel Spirit tree 26261					
2544 3172 0		Travel Spirit tree 26261					
2543 3172 0		Travel Spirit tree 26261					
2542 3171 0		Travel Spirit tree 26261					
2542 3170 0		Travel Spirit tree 26261					
2542 3169 0		Travel Spirit tree 26261					
2542 3168 0		Travel Spirit tree 26261					
							
# Gnome Stronghold							
2460 3444 0		Travel Spirit tree 26260		The Grand Tree			
2461 3444 0		Travel Spirit tree 26260		The Grand Tree			
2462 3444 0		Travel Spirit tree 26260		The Grand Tree			
2463 3444 0		Travel Spirit tree 26260		The Grand Tree			
2464 3446 0		Travel Spirit tree 26260		The Grand Tree			
2464 3447 0		Travel Spirit tree 26260		The Grand Tree			
2464 3448 0		Travel Spirit tree 26260		The Grand Tree			
2463 3449 0		Travel Spirit tree 26260		The Grand Tree			
2462 3449 0		Travel Spirit tree 26260		The Grand Tree			
2461 3449 0		Travel Spirit tree 26260		The Grand Tree			
2460 3449 0		Travel Spirit tree 26260		The Grand Tree			
2459 3448 0		Travel Spirit tree 26260		The Grand Tree			
2459 3446 0		Travel Spirit tree 26260		The Grand Tree			
2459 3445 0		Travel Spirit tree 26260		The Grand Tree			
							
# Battlefield of Khazard							
2555 3259 0		Travel Spirit tree 26263					
2556 3259 0		Travel Spirit tree 26263					
2557 3260 0		Travel Spirit tree 26263					
2557 3261 0		Travel Spirit tree 26263					
2556 3262 0		Travel Spirit tree 26263					
2555 3262 0		Travel Spirit tree 26263					
2554 3261 0		Travel Spirit tree 26263					
2554 3260 0		Travel Spirit tree 26263					
							
# Grand Exchange							
