# Destination	menuOption menuTarget objectID	Skills	Items	Quests	Duration	Display info	Consumable	Wilderness level	Varbits	VarPlayers
# Ardougne cloaks (2 has 3 teleports to farm, 3 has 5 teleports to farm, 4 has unlimited teleports to farm) PS: varbit 6069 is only lowbits, highbits is not transmitted										
2607 3221 0			13121=1||13122=1||13123=1||13124=1||20760=1		4	Ardougne cloak: Kandarin Monastery	F	20	4458=1	
2665 3374 0			13122=1		4	Ardougne cloak: Ardougne Farm	T	20	4459=1;6069<3	
2665 3374 0			13123=1		4	Ardougne cloak: Ardougne Farm	T	20	4460=1;6069<5	
2665 3374 0			13124=1||20760=1		4	Ardougne cloak: Ardougne Farm	F	20	4461=1	
# Karamja gloves										
2840 9387 0			11140=1||13103=1		4	Karamja gloves: Gem Mine	F	20	3611=2	
2869 2982 1			13103=1		4	Karamja gloves 4: Slayer Master	F	20	4566=1	
# Desert amulets (2 and 3 have one teleport per day, 4 is unlimited)										
3420 2917 0			13134=1||13135=1		4	Desert amulet 3: Teleport	T	20	4485=1;4558=0	
3426 2927 0			13136=1		4	Desert amulet 4: Nardah	F	20	4486=1	
3322 3122 0			13136=1		4	Desert amulet 4: Kalphite cave	F	20	4486=1	
# Morytania legs (1 has 2 teleports per day to slime, 2 and 3 have 5 teleports per day to slime, 4 is unlimited)										
3683 9888 0			13112=1		4	Morytania legs: Slime Pit	T	20	4487=1;4542<2	
3683 9888 0			13113=1||13114=1		4	Morytania legs: Slime Pit	T	20	4488=1;4542<5	
3683 9888 0			13115=1		4	Morytania legs: Slime Pit	F	20	4490=1	
3482 3230 0			13114=1||13115=1		4	Morytania legs: Burgh de Rott	F	20	4489=1	
# Fremennik sea boots (1 has 1, 2 has 3, 3 has 5 teleports per day, 4 is unlimited)										
2643 3675 0			13129=1		4	Fremennik sea boots: Teleport	T	20	4491=1;5005=0	
2643 3675 0			13130=1		4	Fremennik sea boots: Teleport	T	20	4491=1;5005<3	
2643 3675 0			13131=1		4	Fremennik sea boots: Teleport	T	20	4491=1;5005<5	
2643 3675 0			13132=1		4	Fremennik sea boots: Teleport	F	20	4494=1	
# Kandarin headgear (3 has 1 teleport per day, 4 is unlimited)										
2730 3420 0			13139=1		4	Kandarin headgear 3: Teleport	T	20	4477=1;4561=0	
2730 3420 0			13140=1		4	Kandarin headgear 4: Teleport	F	20	4478=1	
# Wilderness sword (3 has 1 teleport per day, 4 is unlimited)										
3377 3890 0			13110=1		4	Wilderness sword 3: Teleport	T	20	4468=1;4541=0	
3377 3890 0			13111=1		4	Wilderness sword 4: Teleport	F	20	4469=1	
# Western banner (3 has 1 teleport per day, 4 is unlimited)										
2332 3681 0			13143=1		4	Western banner 3: Teleport	T	20	4473=1;4564=0	
2332 3681 0			13144=1		4	Western banner 4: Teleport	F	20	4474=1	
# Explorer's ring (2 has 3 teleports per day, 3 and 4 are unlimited)										
3052 3291 0			13126=1		4	Explorer's ring 2: Teleport	T	20	4496=1;4552<3	
3052 3291 0			13127=1||13128=1		4	Explorer's ring: Teleport	F	20	4497=1	
# Rada's blessing (Kourend Woodland, 1 has 3 teleports, 2 has 5 teleports, 3 and 4 have unlimited. For Mount Karuulum, 3 has 3 teleports and 4 has unlimited)										
1554 3461 0			22941=1		4	Rada's blessing: Kourend Woodland	T	20	7925=1;7937<3	
1554 3461 0			22943=1		4	Rada's blessing: Kourend Woodland	T	20	7926=1;7937<5	
1554 3461 0			22945=1||22947=1		4	Rada's blessing: Kourend Woodland	F	20	7927=1	
1311 3806 0			22945=1		4	Rada's blessing: Mount Karuulm	T	20	7927=1;7938<3	
1311 3806 0			22947=1		4	Rada's blessing: Mount Karuulm	F	20	7928=1	
										
# Games necklace										
2520 3571 0			3853=1||3855=1||3857=1||3859=1||3861=1||3863=1||3865=1||3867=1		4	Games necklace: Barbarian Outpost	T	20		
2899 3553 0			3853=1||3855=1||3857=1||3859=1||3861=1||3863=1||3865=1||3867=1		4	Games necklace: Burthorpe	T	20		
2965 4254 2			3853=1||3855=1||3857=1||3859=1||3861=1||3863=1||3865=1||3867=1		4	Games necklace: Corporeal Beast	T	20		
3245 9500 2			3853=1||3855=1||3857=1||3859=1||3861=1||3863=1||3865=1||3867=1		4	Games necklace: Tears of Guthix	T	20	451>1	
1631 3940 0			3853=1||3855=1||3857=1||3859=1||3861=1||3863=1||3865=1||3867=1		4	Games necklace: Wintertodt	T	20	5619>0	
										
# Ring of dueling (1-8). Fortis Colosseum 12000 glory unlock is now estimated based on highest wave										
3315 3235 0			2566=1||2564=1||2562=1||2560=1||2558=1||2556=1||2554=1||2552=1		4	Ring of dueling: Emir's Arena	T	20		
2440 3090 0			2566=1||2564=1||2562=1||2560=1||2558=1||2556=1||2554=1||2552=1		4	Ring of dueling: Castle Wars	T	20		
3151 3635 0			2566=1||2564=1||2562=1||2560=1||2558=1||2556=1||2554=1||2552=1		4	Ring of dueling: Ferox Enclave	T	20		
1793 3107 0			2566=1||2564=1||2562=1||2560=1||2558=1||2556=1||2554=1||2552=1		4	Ring of dueling: Fortis Colosseum	T	20	11410>8	
										
# Combat bracelet (1-6) (uncharged is 11126)										
2882 3547 0			11118=1||11120=1||11122=1||11124=1||11972=1||11974=1		4	Combat bracelet: Warriors' Guild	T	30		
3192 3368 0			11118=1||11120=1||11122=1||11124=1||11972=1||11974=1		4	Combat bracelet: Champions' Guild	T	30		
3052 3490 0			11118=1||11120=1||11122=1||11124=1||11972=1||11974=1		4	Combat bracelet: Monastery	T	30		
2653 3439 0			11118=1||11120=1||11122=1||11124=1||11972=1||11974=1		4	Combat bracelet: Ranging Guild	T	30		
										
# Skills necklace (1-6) (uncharged is 11113)										
2611 3390 0			11105=1||11107=1||11109=1||11111=1||11968=1||11970=1		4	Skills necklace: Fishing Guild	T	30		
3049 9763 0			11105=1||11107=1||11109=1||11111=1||11968=1||11970=1		4	Skills necklace: Mining Guild	T	30		
2933 3295 0			11105=1||11107=1||11109=1||11111=1||11968=1||11970=1		4	Skills necklace: Crafting Guild	T	30		
3144 3438 0			11105=1||11107=1||11109=1||11111=1||11968=1||11970=1		4	Skills necklace: Cooking Guild	T	30		
1662 3505 0			11105=1||11107=1||11109=1||11111=1||11968=1||11970=1		4	Skills necklace: Woodcutting Guild	T	30		
1248 3719 0			11105=1||11107=1||11109=1||11111=1||11968=1||11970=1		4	Skills necklace: Farming Guild	T	30		
1248 3725 0		45 Farming	11105=1||11107=1||11109=1||11111=1||11968=1||11970=1		4	Skills necklace: Farming Guild	T	30		
										
# Amulet of glory (1-6, 1t-6t) (uncharged is 1704, trimmed 10362)										
3087 3496 0			1706=1||1708=1||1710=1||1712=1||11976=1||11978=1||10360=1||10358=1||10356=1||10354=1||11966=1||11964=1		4	Amulet of glory: Edgeville	T	30		
2918 3176 0			1706=1||1708=1||1710=1||1712=1||11976=1||11978=1||10360=1||10358=1||10356=1||10354=1||11966=1||11964=1		4	Amulet of glory: Karamja	T	30		
3105 3251 0			1706=1||1708=1||1710=1||1712=1||11976=1||11978=1||10360=1||10358=1||10356=1||10354=1||11966=1||11964=1		4	Amulet of glory: Draynor Village	T	30		
3293 3163 0			1706=1||1708=1||1710=1||1712=1||11976=1||11978=1||10360=1||10358=1||10356=1||10354=1||11966=1||11964=1		4	Amulet of glory: Al Kharid	T	30		
										
# Amulet of eternal glory										
3087 3496 0			19707=1		4	Amulet of glory: Edgeville	F	30		
2918 3176 0			19707=1		4	Amulet of glory: Karamja	F	30		
3105 3251 0			19707=1		4	Amulet of glory: Draynor Village	F	30		
3293 3163 0			19707=1		4	Amulet of glory: Al Kharid	F	30		
										
# Ring of wealth (1-5, 1i-5i) (uncharged is 2572, trimmed 12785)										
2534 3862 0			11988=1||11986=1||11984=1||11982=1||11980=1||20790=1||20789=1||20788=1||20787=1||20786=1	Throne of Miscellania	4	Ring of wealth: Miscellania	T	30		359=100
3163 3478 0			11988=1||11986=1||11984=1||11982=1||11980=1||20790=1||20789=1||20788=1||20787=1||20786=1		4	Ring of wealth: Grand Exchange	T	30		
2995 3375 0			11988=1||11986=1||11984=1||11982=1||11980=1||20790=1||20789=1||20788=1||20787=1||20786=1		4	Ring of wealth: Falador Park	T	30		
