# Origin	Destination	menuOption menuTarget objectID	Items	Quests	Varbits	VarPlayers	Duration	Display info
# Castle Wars								
3147 3638 0	2440 3089 0	Enter Castle Wars portal 30386					1	
3147 3639 0	2440 3089 0	Enter Castle Wars portal 30386					1	
3147 3640 0	2440 3089 0	Enter Castle Wars portal 30386					1	
# Disable the big doors for now as we can't distinguish between f2p and members' worlds atm.								
2438 3097 0	2376 9489 0	Enter Saradomin Portal 4387	HEADSLOT=0&CAPESLOT=0				1	
2438 3096 0	2376 9489 0	Enter Saradomin Portal 4387	HEADSLOT=0&CAPESLOT=0				1	
2436 3095 0	2376 9489 0	Enter Saradomin Portal 4387	HEADSLOT=0&CAPESLOT=0				1	
2437 3095 0	2376 9489 0	Enter Saradomin Portal 4387	HEADSLOT=0&CAPESLOT=0				1	
2436 3091 0	2376 9489 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2437 3091 0	2376 9489 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2438 3090 0	2376 9489 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2438 3089 0	2376 9489 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2436 3088 0	2376 9489 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2437 3088 0	2376 9489 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2436 3091 0	2416 9524 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2437 3091 0	2416 9524 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2438 3090 0	2416 9524 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2438 3089 0	2416 9524 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2436 3088 0	2416 9524 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2437 3088 0	2416 9524 0	Enter Guthix Portal 4408	HEADSLOT=0&CAPESLOT=0				1	
2436 3084 0	2416 9524 0	Enter Zamorak Portal 4388	HEADSLOT=0&CAPESLOT=0				1	
2437 3084 0	2416 9524 0	Enter Zamorak Portal 4388	HEADSLOT=0&CAPESLOT=0				1	
2438 3083 0	2416 9524 0	Enter Zamorak Portal 4388	HEADSLOT=0&CAPESLOT=0				1	
2438 3082 0	2416 9524 0	Enter Zamorak Portal 4388	HEADSLOT=0&CAPESLOT=0				1	
2374 9488 0	2440 3089 0	Exit Portal 4389					1	
2375 9488 0	2440 3089 0	Exit Portal 4389					1	
2376 9487 0	2440 3089 0	Exit Portal 4389					1	
2376 9486 0	2440 3089 0	Exit Portal 4389					1	
2374 9485 0	2440 3089 0	Exit Portal 4389					1	
2375 9485 0	2440 3089 0	Exit Portal 4389					1	
2373 9486 0	2440 3089 0	Exit Portal 4389					1	
2373 9487 0	2440 3089 0	Exit Portal 4389					1	
2424 9531 0	2440 3089 0	Exit Portal 4390					1	
2425 9531 0	2440 3089 0	Exit Portal 4390					1	
2426 9530 0	2440 3089 0	Exit Portal 4390					1	
2426 9529 0	2440 3089 0	Exit Portal 4390					1	
2424 9528 0	2440 3089 0	Exit Portal 4390					1	
2425 9528 0	2440 3089 0	Exit Portal 4390					1	
2423 9529 0	2440 3089 0	Exit Portal 4390					1	
2423 9530 0	2440 3089 0	Exit Portal 4390					1	
								
# Clan Wars								
3128 3625 0	3327 4751 0	Enter Free-for-all portal 26645					1	
3128 3627 0	3327 4751 0	Enter Free-for-all portal 26645					1	
3327 4751 0	3128 3628 0	Exit Portal 26646					1	
3328 4751 0	3128 3629 0	Exit Portal 26646					1	
								
# Wizards' Guild								
2595 3087 2	3109 3159 0	Enter Magic Portal 2156					1	
2595 3088 2	3109 3159 0	Enter Magic Portal 2156					1	
2590 3083 2	2907 3333 0	Enter Magic Portal 2157					1	
2591 3083 2	2907 3333 0	Enter Magic Portal 2157					1	
2586 3087 2	2703 3406 0	Enter Magic Portal 2158					1	
2586 3088 2	2703 3406 0	Enter Magic Portal 2158					1	
								
# Soul Wars								
2206 2858 0	3158 10027 0	Enter Portal 40476					1	2: Ferox Enclave
2206 2857 0	3158 10027 0	Enter Portal 40476					1	2: Ferox Enclave
2206 2859 0	3158 10027 0	Enter Portal 40476					1	2: Ferox Enclave
2204 2859 0	3158 10027 0	Enter Portal 40476					1	2: Ferox Enclave
2204 2858 0	3158 10027 0	Enter Portal 40476					1	2: Ferox Enclave
2204 2857 0	3158 10027 0	Enter Portal 40476					1	2: Ferox Enclave
2205 2856 0	3158 10027 0	Enter Portal 40476					1	2: Ferox Enclave
2205 2860 0	3158 10027 0	Enter Portal 40476					1	2: Ferox Enclave
2206 2858 0	3081 3475 0	Enter Portal 40476					1	1: Edgeville
2206 2859 0	3081 3475 0	Enter Portal 40476					1	1: Edgeville
2206 2857 0	3081 3475 0	Enter Portal 40476					1	1: Edgeville
2205 2856 0	3081 3475 0	Enter Portal 40476					1	1: Edgeville
2205 2860 0	3081 3475 0	Enter Portal 40476					1	1: Edgeville
2204 2859 0	3081 3475 0	Enter Portal 40476					1	1: Edgeville
2204 2858 0	3081 3475 0	Enter Portal 40476					1	1: Edgeville
2204 2857 0	3081 3475 0	Enter Portal 40476					1	1: Edgeville
3084 3476 0	2206 2858 0	Enter Soul Wars Portal 40474					1	
3083 3476 0	2206 2858 0	Enter Soul Wars Portal 40474					1	
3082 3476 0	2206 2858 0	Enter Soul Wars Portal 40474					1	
3081 3475 0	2206 2858 0	Enter Soul Wars Portal 40474					1	
3081 3474 0	2206 2858 0	Enter Soul Wars Portal 40474					1	
3081 3473 0	2206 2858 0	Enter Soul Wars Portal 40474					1	
3158 10028 0	2206 2858 0	Enter Soul Wars Portal 40475					1	
3158 10027 0	2206 2858 0	Enter Soul Wars Portal 40475					1	
3158 10026 0	2206 2858 0	Enter Soul Wars Portal 40475					1	
								
# Uzer ruins								
2720 4884 2	2721 4911 0	Enter Portal 6282					1	
2719 4884 2	2721 4911 0	Enter Portal 6282					1	
2721 4884 2	2721 4911 0	Enter Portal 6282					1	
2718 4883 2	2721 4911 0	Enter Portal 6282					1	
2722 4883 2	2721 4911 0	Enter Portal 6282					1	
2719 4882 2	2721 4911 0	Enter Portal 6282					1	
2720 4882 2	2721 4911 0	Enter Portal 6282					1	
2721 4882 2	2721 4911 0	Enter Portal 6282					1	
								
# Killerwatt plane								
3110 3363 2	2677 5214 2	Enter Interdimensional rift 11355				32=3	1	
3111 3363 2	2677 5214 2	Enter Interdimensional rift 11355				32=3	1	
2677 5214 2	3110 3363 2	Enter Portal Home 11356					1	
2677 5215 2	3110 3363 2	Enter Portal Home 11356					1	
2678 5213 2	3110 3363 2	Enter Portal Home 11356					1	
								
# Clan Cup								
3097 3508 1	3157 9818 0	Use Clan Cup portal 27094					1	
3157 9818 0	3097 3508 1	Use Clan Cup portal 27095					1	
								
# Stronghold of Security								
2040 5240 0	2021 5223 0	Use Portal 19005					1	
1863 5239 0	1914 5222 0	Use Portal 20786					1	
2120 5257 0	2146 5287 0	Use Portal 23707					1	
2119 5258 0	2146 5287 0	Use Portal 23707					1	
2121 5258 0	2146 5287 0	Use Portal 23707					1	
2364 5212 0	2341 5219 0	Use Portal 23922					1	
								
# Jaldraocht Pyramid								
3233 9313 0	3233 2887 0	Use Portal 6550					1	
3234 9312 0	3233 2887 0	Use Portal 6550					1	
3232 9312 0	3233 2887 0	Use Portal 6550					1	
								
# Temple of the Eye								
3104 9573 0	3615 9470 0	Enter Portal 43841		Temple of the Eye			1	
3616 9470 0	3104 9573 0	Enter Portal 43694		Temple of the Eye			1	
3615 9470 0	3104 9573 0	Enter Portal 43694		Temple of the Eye			1	
3614 9470 0	3104 9573 0	Enter Portal 43694		Temple of the Eye			1	
								
# Player-owned house								
# Rimmington								
2953 3224 0	1923 5709 0	Home Portal 15478			2187=1		4	Home Portal
1923 5709 0	2953 3224 0	Home Portal 15478			2187=1		4	Home Portal
# Taverly								
2893 3465 0	1923 5709 0	Home Portal 15477			2187=2		4	Home Portal
1923 5709 0	2893 3465 0	Home Portal 15477			2187=2		4	Home Portal
# Pollnivneach								
3340 3003 0	1923 5709 0	Home Portal 15479			2187=3		4	Home Portal
1923 5709 0	3340 3003 0	Home Portal 15479			2187=3		4	Home Portal
# Rellekka								
2670 3631 0	1923 5709 0	Home Portal 15480			2187=4		4	Home Portal
1923 5709 0	2670 3631 0	Home Portal 15480			2187=4		4	Home Portal
# Brimhaven								
2757 3178 0	1923 5709 0	Home Portal 15481			2187=5		4	Home Portal
1923 5709 0	2757 3178 0	Home Portal 15481			2187=5		4	Home Portal
# Yanille								
2544 3096 0	1923 5709 0	Home Portal 15482			2187=6		4	Home Portal
1923 5709 0	2544 3096 0	Home Portal 15482			2187=6		4	Home Portal
# Prifddinas								
3239 6076 0	1923 5709 0	Home Portal 34947			2187=7		4	Home Portal
1923 5709 0	3239 6076 0	Home Portal 34947			2187=7		4	Home Portal
# Hosidius								
1743 3517 0	1923 5709 0	Home Portal 28822			2187=8		4	Home Portal
1923 5709 0	1743 3517 0	Home Portal 28822			2187=8		4	Home Portal
# Aldarin								
1422 2963 0	1923 5709 0	Home Portal 55353			2187=9		4	Home Portal
1923 5709 0	1422 2963 0	Home Portal 55353			2187=9		4	Home Portal
								
# Myths' Guild Portals								
2456 2855 2	2904 3512 0	Enter Portal of Heroes 31621		Dragon Slayer II			1	Heroes' Guild
2456 2854 2	2904 3512 0	Enter Portal of Heroes 31621		Dragon Slayer II			1	Heroes' Guild
2456 2853 2	2904 3512 0	Enter Portal of Heroes 31621		Dragon Slayer II			1	Heroes' Guild
2458 2855 2	3191 3365 0	Enter Portal of Champions 31618		Dragon Slayer II			1	Champions' Guild
2457 2855 2	3191 3365 0	Enter Portal of Champions 31618		Dragon Slayer II			1	Champions' Guild
2456 2855 2	3191 3365 0	Enter Portal of Champions 31618		Dragon Slayer II			1	Champions' Guild
2458 2855 2	2729 3367 0	Enter Portal of Legends 31622		Dragon Slayer II			1	Legends' Guild
2458 2854 2	2729 3367 0	Enter Portal of Legends 31622		Dragon Slayer II			1	Legends' Guild
2458 2853 2	2729 3367 0	Enter Portal of Legends 31622		Dragon Slayer II			1	Legends' Guild
