# Origin	Destination	menuOption menuTarget objectID	Varbits	Duration	Display info
1928 5731 0	2771 9102 0	Enter Ape Atoll Dungeon Portal 37592		1	Ape Atoll Dungeon Portal
1928 5731 0	2771 9102 0	Enter Ape Atoll Dungeon Portal 37604		1	Ape Atoll Dungeon Portal
1928 5731 0	2771 9102 0	Enter Ape Atoll Dungeon Portal 37616		1	Ape Atoll Dungeon Portal
1928 5731 0	3288 3888 0	Enter Annakarl Portal 29341		1	Annakarl Portal
1928 5731 0	3288 3888 0	Enter Annakarl Portal 29349		1	Annakarl Portal
1928 5731 0	3288 3888 0	Enter Annakarl Portal 29357		1	Annakarl Portal
1928 5731 0	2662 3305 0	Enter Ardougne Portal 13619		1	Ardougne Portal
1928 5731 0	2662 3305 0	Enter Ardougne Portal 13626		1	Ardougne Portal
1928 5731 0	2662 3305 0	Enter Ardougne Portal 13633		1	Ardougne Portal
1928 5731 0	1632 3837 0	Enter Arceuus Library Portal 41416		1	Arceuus Library Portal
1928 5731 0	1632 3837 0	Enter Arceuus Library Portal 41417		1	Arceuus Library Portal
1928 5731 0	1632 3837 0	Enter Arceuus Library Portal 41418		1	Arceuus Library Portal
1928 5731 0	2543 3569 0	Enter Barbarian Outpost Portal 60795		1	Barbarian Outpost Portal
1928 5731 0	2543 3569 0	Enter Barbarian Outpost Portal 60805		1	Barbarian Outpost Portal
1928 5731 0	2543 3569 0	Enter Barbarian Outpost Portal 60815		1	Barbarian Outpost Portal
1928 5731 0	3564 3315 0	Enter Barrows Portal 37591		1	Barrows Portal
1928 5731 0	3564 3315 0	Enter Barrows Portal 37603		1	Barrows Portal
1928 5731 0	3564 3315 0	Enter Barrows Portal 37615		1	Barrows Portal
1928 5731 0	1347 3740 0	Enter Battlefront Portal 37584		1	Battlefront Portal
1928 5731 0	1347 3740 0	Enter Battlefront Portal 37596		1	Battlefront Portal
1928 5731 0	1347 3740 0	Enter Battlefront Portal 37608		1	Battlefront Portal
#1928 5731 0		Enter Boat Portal 60799		1	Boat Portal
#1928 5731 0		Enter Boat Portal 60809		1	Boat Portal
#1928 5731 0		Enter Boat Portal 60819		1	Boat Portal
1928 5731 0	2757 3479 0	Camelot Camelot Portal 33094	4560=0	1	Camelot Portal
1928 5731 0	2757 3479 0	Camelot Camelot Portal 33100	4560=0	1	Camelot Portal
1928 5731 0	2757 3479 0	Camelot Camelot Portal 33106	4560=0	1	Camelot Portal
1928 5731 0	2726 3487 0	Seers' Village Seers' Village Portal 33095	4560=1	1	Seers' Village Portal
1928 5731 0	2726 3487 0	Seers' Village Seers' Village Portal 33101	4560=1	1	Seers' Village Portal
1928 5731 0	2726 3487 0	Seers' Village Seers' Village Portal 33107	4560=1	1	Seers' Village Portal
1928 5731 0	3158 3666 0	Enter Carrallanger Portal 33434		1	Carrallanger Portal
1928 5731 0	3158 3666 0	Enter Carrallanger Portal 33437		1	Carrallanger Portal
1928 5731 0	3158 3666 0	Enter Carrallanger Portal 33440		1	Carrallanger Portal
1928 5731 0	2801 3449 0	Enter Catherby Portal 33432		1	Catherby Portal
1928 5731 0	2801 3449 0	Enter Catherby Portal 33435		1	Catherby Portal
1928 5731 0	2801 3449 0	Enter Catherby Portal 33438		1	Catherby Portal
1928 5731 0	1681 3133 0	Enter Civitas illa Fortis Portal 50713		1	Civitas illa Fortis Portal
1928 5731 0	1681 3133 0	Enter Civitas illa Fortis Portal 50714		1	Civitas illa Fortis Portal
1928 5731 0	1681 3133 0	Enter Civitas illa Fortis Portal 50715		1	Civitas illa Fortis Portal
1928 5731 0	2981 3764 0	Enter Cemetery Portal 37590		1	Cemetery Portal
1928 5731 0	2981 3764 0	Enter Cemetery Portal 37602		1	Cemetery Portal
1928 5731 0	2981 3764 0	Enter Cemetery Portal 37614		1	Cemetery Portal
1928 5731 0	2968 3696 0	Enter Dareeyak Portal 60793		1	Dareeyak Portal
1928 5731 0	2968 3696 0	Enter Dareeyak Portal 60803		1	Dareeyak Portal
1928 5731 0	2968 3696 0	Enter Dareeyak Portal 60813		1	Dareeyak Portal
1928 5731 0	3109 3351 0	Enter Draynor Manor Portal 37583		1	Draynor Manor Portal
1928 5731 0	3109 3351 0	Enter Draynor Manor Portal 37595		1	Draynor Manor Portal
1928 5731 0	3109 3351 0	Enter Draynor Manor Portal 37607		1	Draynor Manor Portal
1928 5731 0	2964 3378 0	Enter Falador Portal 13617		1	Falador Portal
1928 5731 0	2964 3378 0	Enter Falador Portal 13624		1	Falador Portal
1928 5731 0	2964 3378 0	Enter Falador Portal 13631		1	Falador Portal
1928 5731 0	3548 3529 0	Enter Fenkenstrain's Castle Portal 37587		1	Fenkenstrain's Castle Portal
1928 5731 0	3548 3529 0	Enter Fenkenstrain's Castle Portal 37599		1	Fenkenstrain's Castle Portal
1928 5731 0	3548 3529 0	Enter Fenkenstrain's Castle Portal 37611		1	Fenkenstrain's Castle Portal
1928 5731 0	2613 3391 0	Enter Fishing Guild Portal 29343		1	Fishing Guild Portal
1928 5731 0	2613 3391 0	Enter Fishing Guild Portal 29351		1	Fishing Guild Portal
1928 5731 0	2613 3391 0	Enter Fishing Guild Portal 29359		1	Fishing Guild Portal
1928 5731 0	2976 3872 0	Enter Ghorrock Portal 33433		1	Ghorrock Portal
1928 5731 0	2976 3872 0	Enter Ghorrock Portal 33436		1	Ghorrock Portal
1928 5731 0	2976 3872 0	Enter Ghorrock Portal 33439		1	Ghorrock Portal
1928 5731 0	3165 3479 0	Grand Exchange Grand Exchange Portal 33093	4585=1	1	Grand Exchange Portal
1928 5731 0	3165 3479 0	Grand Exchange Grand Exchange Portal 33099	4585=1	1	Grand Exchange Portal
1928 5731 0	3165 3479 0	Grand Exchange Grand Exchange Portal 33105	4585=1	1	Grand Exchange Portal
1928 5731 0	3797 2866 0	Enter Harmony Island Portal 37589		1	Harmony Island Portal
1928 5731 0	3797 2866 0	Enter Harmony Island Portal 37601		1	Harmony Island Portal
1928 5731 0	3797 2866 0	Enter Harmony Island Portal 37613		1	Harmony Island Portal
1928 5731 0	2975 3938 0	Enter Ice Plateau Portal 60797		1	Ice Plateau Portal
1928 5731 0	2975 3938 0	Enter Ice Plateau Portal 60807		1	Ice Plateau Portal
1928 5731 0	2975 3938 0	Enter Ice Plateau Portal 60817		1	Ice Plateau Portal
1928 5731 0	3494 3473 0	Enter Kharyrll Portal 29338		1	Kharyrll Portal
1928 5731 0	3494 3473 0	Enter Kharyrll Portal 29346		1	Kharyrll Portal
1928 5731 0	3494 3473 0	Enter Kharyrll Portal 29354		1	Kharyrll Portal
1928 5731 0	1641 3673 0	Enter Kourend Portal 29345		1	Kourend Portal
1928 5731 0	1641 3673 0	Enter Kourend Portal 29353		1	Kourend Portal
1928 5731 0	1641 3673 0	Enter Kourend Portal 29361		1	Kourend Portal
1928 5731 0	3004 3470 0	Enter Lassar Portal 60792		1	Lassar Portal
1928 5731 0	3004 3470 0	Enter Lassar Portal 60802		1	Lassar Portal
1928 5731 0	3004 3470 0	Enter Lassar Portal 60812		1	Lassar Portal
1928 5731 0	3221 3218 0	Enter Lumbridge Portal 13616		1	Lumbridge Portal
1928 5731 0	3221 3218 0	Enter Lumbridge Portal 13623		1	Lumbridge Portal
1928 5731 0	3221 3218 0	Enter Lumbridge Portal 13630		1	Lumbridge Portal
1928 5731 0	2113 3915 0	Enter Lunar Isle Portal 29339		1	Lunar Isle Portal
